id;nombre;precio;imagen;ingredientes
1;flawed;25727.01;dismantle following;oblong extort
2;whenever with once;15868.52;past hm;meanwhile
3;outside;16661;wearily round regularly;outlook luxurious amusing
4;annually until;10588.33;boo;cope purple pesky
5;meanwhile;11910.83;majestically mid drat;intent irrigation if
6;though round repeatedly;17852.76;within that;a gladly headphones
7;punt cast off;8933.55;hacienda however tensely;mmm
8;lightly;18853.76;once;trusting reorganization
9;who multitask;22671.36;frenetically shoplift;upside-down beware
10;why;3120.2;modest however;oof which
